,uniprot_id,Entry,Entry Name,Reviewed,Protein names,Gene Names,Organism,Length,gene_first
17,q9bua3,Q9BUA3,SPNDC_HUMAN,reviewed,Spindlin interactor and repressor of chromatin-binding protein (SPIN1-docking protein) (SPIN-DOC),SPINDOC C11orf84,Homo sapiens (Human),381,SPINDOC
18,p62945,P62945,RS32_HUMAN,reviewed,Small ribosomal subunit protein eS32 (60S ribosomal protein L41) (HG12) (Large ribosomal subunit protein eL41),RPL41,Homo sapiens (Human),25,RPL41
19,q13888,Q13888,TF2H2_HUMAN,reviewed,General transcription factor IIH subunit 2 (Basic transcription factor 2 44 kDa subunit) (BTF2 p44) (General transcription factor IIH polypeptide 2) (TFIIH basal transcription factor complex p44 subunit),GTF2H2 BTF2P44,Homo sapiens (Human),395,GTF2H2
20,q02878,Q02878,RL6_HUMAN,reviewed,Large ribosomal subunit protein eL6 (60S ribosomal protein L6) (Neoplasm-related protein C140) (Tax-responsive enhancer element-binding protein 107) (TaxREB107),RPL6 TXREB1,Homo sapiens (Human),288,RPL6
21,p20671,P20671,H2A1D_HUMAN,reviewed,Histone H2A type 1-D (Histone H2A.3) (Histone H2A/g),H2AC7 H2AFG HIST1H2AD,Homo sapiens (Human),130,H2AC7
22,q16186,Q16186,ADRM1_HUMAN,reviewed,Proteasomal ubiquitin receptor ADRM1 (110 kDa cell membrane glycoprotein) (Gp110) (Adhesion-regulating molecule 1) (ARM-1) (Proteasome regulatory particle non-ATPase 13) (hRpn13) (Rpn13 homolog),ADRM1 GP110,Homo sapiens (Human),407,ADRM1
23,q6zyl4,Q6ZYL4,TF2H5_HUMAN,reviewed,General transcription factor IIH subunit 5 (General transcription factor IIH polypeptide 5) (TFB5 ortholog) (TFIIH basal transcription factor complex TTD-A subunit) (TFIIH subunit p8),GTF2H5 C6orf175 TTDA,Homo sapiens (Human),71,GTF2H5
24,q9ubb5,Q9UBB5,MBD2_HUMAN,reviewed,Methyl-CpG-binding domain protein 2 (Demethylase) (DMTase) (Methyl-CpG-binding protein MBD2),MBD2,Homo sapiens (Human),411,MBD2
25,p30050,P30050,RL12_HUMAN,reviewed,Large ribosomal subunit protein uL11 (60S ribosomal protein L12),RPL12,Homo sapiens (Human),165,RPL12
26,q96b97,Q96B97,SH3K1_HUMAN,reviewed,SH3 domain-containing kinase-binding protein 1 (CD2-binding protein 3) (CD2BP3) (Cbl-interacting protein of 85 kDa) (Human Src family kinase-binding protein 1) (HSB-1),SH3KBP1 CIN85,Homo sapiens (Human),665,SH3KBP1
27,q13330,Q13330,MTA1_HUMAN,reviewed,Metastasis-associated protein MTA1,MTA1,Homo sapiens (Human),715,MTA1
28,p62906,P62906,RL10A_HUMAN,reviewed,Large ribosomal subunit protein uL1 (60S ribosomal protein L10a) (CSA-19) (Neural precursor cell expressed developmentally down-regulated protein 6) (NEDD-6),RPL10A NEDD6,Homo sapiens (Human),217,RPL10A
29,q8n884,Q8N884,CGAS_HUMAN,reviewed,Cyclic GMP-AMP synthase (cGAMP synthase) (cGAS) (h-cGAS) (EC 2.7.7.86) (2'3'-cGAMP synthase) (Mab-21 domain-containing protein 1),CGAS C6orf150 MB21D1,Homo sapiens (Human),522,CGAS
30,q7z6z7,Q7Z6Z7,HUWE1_HUMAN,reviewed,"E3 ubiquitin-protein ligase HUWE1 (EC 2.3.2.26) (ARF-binding protein 1) (ARF-BP1) (HECT, UBA and WWE domain-containing protein 1) (HECT-type E3 ubiquitin transferase HUWE1) (Homologous to E6AP carboxyl terminus homologous protein 9) (HectH9) (Large structure of UREB1) (LASU1) (Mcl-1 ubiquitin ligase E3) (Mule) (Upstream regulatory element-binding protein 1) (URE-B1) (URE-binding protein 1)",HUWE1 KIAA0312 KIAA1578 UREB1 HSPC272,Homo sapiens (Human),4374,HUWE1
31,q9uif9,Q9UIF9,BAZ2A_HUMAN,reviewed,Bromodomain adjacent to zinc finger domain protein 2A (Transcription termination factor I-interacting protein 5) (TTF-I-interacting protein 5) (Tip5) (hWALp3),BAZ2A KIAA0314 TIP5,Homo sapiens (Human),1905,BAZ2A
32,p62753,P62753,RS6_HUMAN,reviewed,Small ribosomal subunit protein eS6 (40S ribosomal protein S6) (Phosphoprotein NP33),RPS6 OK/SW-cl.2,Homo sapiens (Human),249,RPS6
33,p55895,P55895,RAG2_HUMAN,reviewed,V(D)J recombination-activating protein 2 (RAG-2),RAG2,Homo sapiens (Human),527,RAG2
34,q9bu64,Q9BU64,CENPO_HUMAN,reviewed,Centromere protein O (CENP-O) (Interphase centromere complex protein 36),CENPO ICEN36 MCM21R,Homo sapiens (Human),300,CENPO
35,q96cv9,Q96CV9,OPTN_HUMAN,reviewed,Optineurin (E3-14.7K-interacting protein) (FIP-2) (Huntingtin yeast partner L) (Huntingtin-interacting protein 7) (HIP-7) (Huntingtin-interacting protein L) (NEMO-related protein) (Optic neuropathy-inducing protein) (Transcription factor IIIA-interacting protein) (TFIIIA-IntP),OPTN FIP2 GLC1E HIP7 HYPL NRP,Homo sapiens (Human),577,OPTN
36,p62913,P62913,RL11_HUMAN,reviewed,Large ribosomal subunit protein uL5 (60S ribosomal protein L11) (CLL-associated antigen KW-12),RPL11,Homo sapiens (Human),178,RPL11
37,q96cw5,Q96CW5,GCP3_HUMAN,reviewed,Gamma-tubulin complex component 3 (GCP-3) (hGCP3) (Gamma-ring complex protein 104 kDa) (h104p) (hGrip104) (Spindle pole body protein Spc98 homolog) (hSpc98),TUBGCP3 GCP3,Homo sapiens (Human),907,TUBGCP3
38,p05388,P05388,RLA0_HUMAN,reviewed,Large ribosomal subunit protein uL10 (60S acidic ribosomal protein P0) (60S ribosomal protein L10E),RPLP0,Homo sapiens (Human),317,RPLP0
39,q15543,Q15543,TAF13_HUMAN,reviewed,Transcription initiation factor TFIID subunit 13 (Transcription initiation factor TFIID 18 kDa subunit) (TAF(II)18) (TAFII-18) (TAFII18),TAF13 TAF2K TAFII18,Homo sapiens (Human),124,TAF13
40,p15976,P15976,GATA1_HUMAN,reviewed,Erythroid transcription factor (Eryf1) (GATA-binding factor 1) (GATA-1) (GF-1) (NF-E1 DNA-binding protein),GATA1 ERYF1 GF1,Homo sapiens (Human),413,GATA1
41,q9um11,Q9UM11,FZR1_HUMAN,reviewed,Fizzy-related protein homolog (Fzr) (CDC20-like protein 1) (Cdh1/Hct1 homolog) (hCDH1),FZR1 CDH1 FYR FZR KIAA1242,Homo sapiens (Human),496,FZR1
42,p49368,P49368,TCPG_HUMAN,reviewed,T-complex protein 1 subunit gamma (TCP-1-gamma) (EC 3.6.1.-) (CCT-gamma) (Chaperonin containing T-complex polypeptide 1 subunit 3) (hTRiC5),CCT3 CCTG TRIC5,Homo sapiens (Human),545,CCT3
43,q15528,Q15528,MED22_HUMAN,reviewed,Mediator of RNA polymerase II transcription subunit 22 (Mediator complex subunit 22) (Surfeit locus protein 5) (Surf-5),MED22 SURF5,Homo sapiens (Human),200,MED22
44,q15291,Q15291,RBBP5_HUMAN,reviewed,Retinoblastoma-binding protein 5 (RBBP-5) (Retinoblastoma-binding protein RBQ-3),RBBP5 RBQ3,Homo sapiens (Human),538,RBBP5
45,o60885,O60885,BRD4_HUMAN,reviewed,Bromodomain-containing protein 4 (Protein HUNK1),BRD4 HUNK1,Homo sapiens (Human),1362,BRD4
46,q9nvi1,Q9NVI1,FANCI_HUMAN,reviewed,Fanconi anemia group I protein (Protein FACI),FANCI KIAA1794,Homo sapiens (Human),1328,FANCI
47,o76064,O76064,RNF8_HUMAN,reviewed,E3 ubiquitin-protein ligase RNF8 (hRNF8) (EC 2.3.2.27) (RING finger protein 8) (RING-type E3 ubiquitin transferase RNF8),RNF8 KIAA0646,Homo sapiens (Human),485,RNF8
48,p26373,P26373,RL13_HUMAN,reviewed,Large ribosomal subunit protein eL13 (60S ribosomal protein L13) (Breast basic conserved protein 1),RPL13 BBC1 OK/SW-cl.46,Homo sapiens (Human),211,RPL13
49,p01106,P01106,MYC_HUMAN,reviewed,Myc proto-oncogene protein (Class E basic helix-loop-helix protein 39) (bHLHe39) (Proto-oncogene c-Myc) (Transcription factor p64),MYC BHLHE39,Homo sapiens (Human),454,MYC
50,p54274,P54274,TERF1_HUMAN,reviewed,Telomeric repeat-binding factor 1 (NIMA-interacting protein 2) (TTAGGG repeat-binding factor 1) (Telomeric protein Pin2/TRF1),TERF1 PIN2 TRBF1 TRF TRF1,Homo sapiens (Human),439,TERF1
51,q99460,Q99460,PSMD1_HUMAN,reviewed,26S proteasome non-ATPase regulatory subunit 1 (26S proteasome regulatory subunit RPN2) (26S proteasome regulatory subunit S1) (26S proteasome subunit p112),PSMD1,Homo sapiens (Human),953,PSMD1
52,q12824,Q12824,SNF5_HUMAN,reviewed,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1 (BRG1-associated factor 47) (BAF47) (Integrase interactor 1 protein) (SNF5 homolog) (hSNF5),SMARCB1 BAF47 INI1 SNF5L1,Homo sapiens (Human),385,SMARCB1
53,p68363,P68363,TBA1B_HUMAN,reviewed,Tubulin alpha-1B chain (EC 3.6.5.-) (Alpha-tubulin ubiquitous) (Tubulin K-alpha-1) (Tubulin alpha-ubiquitous chain) [Cleaved into: Detyrosinated tubulin alpha-1B chain],TUBA1B,Homo sapiens (Human),451,TUBA1B
54,q6zsg1,Q6ZSG1,ARK2C_HUMAN,reviewed,E3 ubiquitin-protein ligase ARK2C (EC 2.3.2.27) (RING finger protein 165) (RNF165),ARK2C RNF165,Homo sapiens (Human),346,ARK2C
55,q9uli0,Q9ULI0,ATD2B_HUMAN,reviewed,ATPase family AAA domain-containing protein 2B,ATAD2B KIAA1240,Homo sapiens (Human),1458,ATAD2B
56,q16643,Q16643,DREB_HUMAN,reviewed,Drebrin (Developmentally-regulated brain protein),DBN1 D0S117E,Homo sapiens (Human),649,DBN1
57,o00303,O00303,EIF3F_HUMAN,reviewed,Eukaryotic translation initiation factor 3 subunit F (eIF3f) (Deubiquitinating enzyme eIF3f) (EC 3.4.19.12) (Eukaryotic translation initiation factor 3 subunit 5) (eIF-3-epsilon) (eIF3 p47),EIF3F EIF3S5,Homo sapiens (Human),357,EIF3F
58,q99549,Q99549,MPP8_HUMAN,reviewed,M-phase phosphoprotein 8 (Two hybrid-associated protein 3 with RanBPM) (Twa3),MPHOSPH8 MPP8,Homo sapiens (Human),860,MPHOSPH8
59,p09874,P09874,PARP1_HUMAN,reviewed,"Poly [ADP-ribose] polymerase 1 (PARP-1) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 1) (ARTD1) (DNA ADP-ribosyltransferase PARP1) (EC 2.4.2.-) (NAD(+) ADP-ribosyltransferase 1) (ADPRT 1) (Poly[ADP-ribose] synthase 1) (Protein poly-ADP-ribosyltransferase PARP1) (EC 2.4.2.-) [Cleaved into: Poly [ADP-ribose] polymerase 1, processed C-terminus (Poly [ADP-ribose] polymerase 1, 89-kDa form); Poly [ADP-ribose] polymerase 1, processed N-terminus (NT-PARP-1) (Poly [ADP-ribose] polymerase 1, 24-kDa form) (Poly [ADP-ribose] polymerase 1, 28-kDa form)]",PARP1 ADPRT PPOL,Homo sapiens (Human),1014,PARP1
60,q14181,Q14181,DPOA2_HUMAN,reviewed,DNA polymerase alpha subunit B (DNA polymerase alpha 70 kDa subunit),POLA2,Homo sapiens (Human),598,POLA2
61,q9umn6,Q9UMN6,KMT2B_HUMAN,reviewed,Histone-lysine N-methyltransferase 2B (Lysine N-methyltransferase 2B) (EC 2.1.1.364) (Myeloid/lymphoid or mixed-lineage leukemia protein 4) (Trithorax homolog 2) (WW domain-binding protein 7) (WBP-7),KMT2B HRX2 KIAA0304 MLL2 MLL4 TRX2 WBP7,Homo sapiens (Human),2715,KMT2B
62,q92522,Q92522,H1X_HUMAN,reviewed,Histone H1.10 (Histone H1x),H1-10 H1FX,Homo sapiens (Human),213,H1-10
63,q05086,Q05086,UBE3A_HUMAN,reviewed,Ubiquitin-protein ligase E3A (EC 2.3.2.26) (E6AP ubiquitin-protein ligase) (HECT-type ubiquitin transferase E3A) (Human papillomavirus E6-associated protein) (Oncogenic protein-associated protein E6-AP) (Renal carcinoma antigen NY-REN-54),UBE3A E6AP EPVE6AP HPVE6A,Homo sapiens (Human),875,UBE3A
64,q8wuf5,Q8WUF5,IASPP_HUMAN,reviewed,RelA-associated inhibitor (Inhibitor of ASPP protein) (Protein iASPP) (NFkB-interacting protein 1) (PPP1R13B-like protein),PPP1R13L IASPP NKIP1 PPP1R13BL RAI,Homo sapiens (Human),828,PPP1R13L
65,q8iyw5,Q8IYW5,RN168_HUMAN,reviewed,E3 ubiquitin-protein ligase RNF168 (hRNF168) (EC 2.3.2.27) (RING finger protein 168) (RING-type E3 ubiquitin transferase RNF168),RNF168,Homo sapiens (Human),571,RNF168
66,q08945,Q08945,SSRP1_HUMAN,reviewed,FACT complex subunit SSRP1 (Chromatin-specific transcription elongation factor 80 kDa subunit) (Facilitates chromatin transcription complex 80 kDa subunit) (FACT 80 kDa subunit) (FACTp80) (Facilitates chromatin transcription complex subunit SSRP1) (Recombination signal sequence recognition protein 1) (Structure-specific recognition protein 1) (hSSRP1) (T160),SSRP1 FACT80,Homo sapiens (Human),709,SSRP1
67,p0c0s8,P0C0S8,H2A1_HUMAN,reviewed,Histone H2A type 1 (H2A.1) (Histone H2A/ptl),H2AC11 H2AFP HIST1H2AG; H2AC13 H2AFC HIST1H2AI; H2AC15 H2AFD HIST1H2AK; H2AC16 H2AFI HIST1H2AL; H2AC17 H2AFN HIST1H2AM,Homo sapiens (Human),130,H2AC11
68,p12004,P12004,PCNA_HUMAN,reviewed,Proliferating cell nuclear antigen (PCNA) (Cyclin),PCNA,Homo sapiens (Human),261,PCNA
69,q9ujx5,Q9UJX5,APC4_HUMAN,reviewed,Anaphase-promoting complex subunit 4 (APC4) (Cyclosome subunit 4),ANAPC4 APC4,Homo sapiens (Human),808,ANAPC4
70,q9bv86,Q9BV86,NTM1A_HUMAN,reviewed,"N-terminal Xaa-Pro-Lys N-methyltransferase 1 (EC 2.1.1.244) (Alpha N-terminal protein methyltransferase 1A) (Methyltransferase-like protein 11A) (N-terminal RCC1 methyltransferase) (X-Pro-Lys N-terminal protein methyltransferase 1A) (NTM1A) [Cleaved into: N-terminal Xaa-Pro-Lys N-methyltransferase 1, N-terminally processed]",NTMT1 C9orf32 METTL11A NRMT NRMT1 AD-003,Homo sapiens (Human),223,NTMT1
71,p46778,P46778,RL21_HUMAN,reviewed,Large ribosomal subunit protein eL21 (60S ribosomal protein L21),RPL21,Homo sapiens (Human),160,RPL21
72,q9h8m2,Q9H8M2,BRD9_HUMAN,reviewed,Bromodomain-containing protein 9 (Rhabdomyosarcoma antigen MU-RMS-40.8),BRD9 UNQ3040/PRO9856,Homo sapiens (Human),597,BRD9
73,p62987,P62987,RL40_HUMAN,reviewed,Ubiquitin-ribosomal protein eL40 fusion protein (CEP52) (Ubiquitin A-52 residue ribosomal protein fusion product 1) [Cleaved into: Ubiquitin; Large ribosomal subunit protein eL40 (60S ribosomal protein L40) (rpL40)],UBA52 UBCEP2,Homo sapiens (Human),128,UBA52
74,q9ntg7,Q9NTG7,SIR3_HUMAN,reviewed,"NAD-dependent protein deacetylase sirtuin-3, mitochondrial (hSIRT3) (EC 2.3.1.286) (NAD-dependent protein delactylase sirtuin-3) (EC 2.3.1.-) (Regulatory protein SIR2 homolog 3) (SIR2-like protein 3)",SIRT3 SIR2L3,Homo sapiens (Human),399,SIRT3
75,p49321,P49321,NASP_HUMAN,reviewed,Nuclear autoantigenic sperm protein (NASP),NASP,Homo sapiens (Human),788,NASP
76,o75821,O75821,EIF3G_HUMAN,reviewed,Eukaryotic translation initiation factor 3 subunit G (eIF3g) (Eukaryotic translation initiation factor 3 RNA-binding subunit) (eIF-3 RNA-binding subunit) (Eukaryotic translation initiation factor 3 subunit 4) (eIF-3-delta) (eIF3 p42) (eIF3 p44),EIF3G EIF3S4,Homo sapiens (Human),320,EIF3G
77,p62256,P62256,UBE2H_HUMAN,reviewed,Ubiquitin-conjugating enzyme E2 H (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme H) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme H) (UbcH2) (Ubiquitin carrier protein H) (Ubiquitin-conjugating enzyme E2-20K) (Ubiquitin-protein ligase H),UBE2H,Homo sapiens (Human),183,UBE2H
78,p0c5z0,P0C5Z0,H2AB2_HUMAN,reviewed,Histone H2A-Bbd type 2/3 (H2A Barr body-deficient) (H2A.Bbd),H2AB2 H2AFB2; H2AB3 H2ABBD H2AFB H2AFB3,Homo sapiens (Human),115,H2AB2
79,q5vtr2,Q5VTR2,BRE1A_HUMAN,reviewed,E3 ubiquitin-protein ligase BRE1A (BRE1-A) (hBRE1) (EC 2.3.2.27) (RING finger protein 20) (RING-type E3 ubiquitin transferase BRE1A),RNF20 BRE1A,Homo sapiens (Human),975,RNF20
80,p19388,P19388,RPAB1_HUMAN,reviewed,"DNA-directed RNA polymerases I, II, and III subunit RPABC1 (RNA polymerases I, II, and III subunit ABC1) (DNA-directed RNA polymerase II 23 kDa polypeptide) (DNA-directed RNA polymerase II subunit E) (RPB5 homolog) (XAP4)",POLR2E,Homo sapiens (Human),210,POLR2E
81,q6uwz7,Q6UWZ7,ABRX1_HUMAN,reviewed,BRCA1-A complex subunit Abraxas 1 (Coiled-coil domain-containing protein 98) (Protein FAM175A),ABRAXAS1 ABRA1 CCDC98 FAM175A UNQ496/PRO1013,Homo sapiens (Human),409,ABRAXAS1
82,q8tac2,Q8TAC2,JOS2_HUMAN,reviewed,Josephin-2 (EC 3.4.19.12) (Josephin domain-containing protein 2),JOSD2 SBBI54,Homo sapiens (Human),188,JOSD2
83,p09936,P09936,UCHL1_HUMAN,reviewed,Ubiquitin carboxyl-terminal hydrolase isozyme L1 (UCH-L1) (EC 3.4.19.12) (Neuron cytoplasmic protein 9.5) (PGP 9.5) (PGP9.5) (Ubiquitin thioesterase L1),UCHL1,Homo sapiens (Human),223,UCHL1
84,q8ixh7,Q8IXH7,NELFD_HUMAN,reviewed,Negative elongation factor C/D (NELF-C/D) (TH1-like protein),NELFCD NELFD TH1 TH1L HSPC130,Homo sapiens (Human),590,NELFCD
85,q9nvw2,Q9NVW2,RNF12_HUMAN,reviewed,E3 ubiquitin-protein ligase RLIM (EC 2.3.2.27) (LIM domain-interacting RING finger protein) (RING finger LIM domain-binding protein) (R-LIM) (RING finger protein 12) (RING-type E3 ubiquitin transferase RLIM) (Renal carcinoma antigen NY-REN-43),RLIM RNF12,Homo sapiens (Human),624,RLIM
86,o75592,O75592,MYCB2_HUMAN,reviewed,E3 ubiquitin-protein ligase MYCBP2 (EC 2.3.2.33) (Myc-binding protein 2) (Protein associated with Myc),MYCBP2 KIAA0916 PAM,Homo sapiens (Human),4678,MYCBP2
87,q96pu5,Q96PU5,NED4L_HUMAN,reviewed,E3 ubiquitin-protein ligase NEDD4-like (EC 2.3.2.26) (EC 2.3.2.36) (HECT-type E3 ubiquitin transferase NED4L) (NEDD4.2) (Nedd4-2),NEDD4L KIAA0439 NEDL3,Homo sapiens (Human),975,NEDD4L
88,p62249,P62249,RS16_HUMAN,reviewed,Small ribosomal subunit protein uS9 (40S ribosomal protein S16),RPS16,Homo sapiens (Human),146,RPS16
89,q9p086,Q9P086,MED11_HUMAN,reviewed,Mediator of RNA polymerase II transcription subunit 11 (Mediator complex subunit 11),MED11 HSPC296,Homo sapiens (Human),117,MED11
90,p61964,P61964,WDR5_HUMAN,reviewed,WD repeat-containing protein 5 (BMP2-induced 3-kb gene protein),WDR5 BIG3,Homo sapiens (Human),334,WDR5
91,a0jlt2,A0JLT2,MED19_HUMAN,reviewed,Mediator of RNA polymerase II transcription subunit 19 (Lung cancer metastasis-related protein 1) (Mediator complex subunit 19),MED19 LCMR1,Homo sapiens (Human),244,MED19
92,q03111,Q03111,ENL_HUMAN,reviewed,Protein ENL (YEATS domain-containing protein 1),MLLT1 ENL LTG19 YEATS1,Homo sapiens (Human),559,MLLT1
93,p23258,P23258,TBG1_HUMAN,reviewed,Tubulin gamma-1 chain (Gamma-1-tubulin) (Gamma-tubulin complex component 1) (GCP-1),TUBG1 TUBG,Homo sapiens (Human),451,TUBG1
94,q5ee01,Q5EE01,CENPW_HUMAN,reviewed,Centromere protein W (CENP-W) (Cancer-up-regulated gene 2 protein),CENPW C6orf173 CUG2,Homo sapiens (Human),88,CENPW
95,o95786,O95786,RIGI_HUMAN,reviewed,Antiviral innate immune response receptor RIG-I (ATP-dependent RNA helicase DDX58) (EC 3.6.4.13) (DEAD box protein 58) (RIG-I-like receptor 1) (RLR-1) (RNA sensor RIG-I) (Retinoic acid-inducible gene 1 protein) (RIG-1) (Retinoic acid-inducible gene I protein) (RIG-I),RIGI DDX58,Homo sapiens (Human),925,RIGI
96,p15923,P15923,TFE2_HUMAN,reviewed,Transcription factor E2-alpha (Class B basic helix-loop-helix protein 21) (bHLHb21) (Immunoglobulin enhancer-binding factor E12/E47) (Immunoglobulin transcription factor 1) (Kappa-E2-binding factor) (Transcription factor 3) (TCF-3) (Transcription factor ITF-1),TCF3 BHLHB21 E2A ITF1,Homo sapiens (Human),654,TCF3
97,o75496,O75496,GEMI_HUMAN,reviewed,Geminin,GMNN,Homo sapiens (Human),209,GMNN
98,q9h204,Q9H204,MED28_HUMAN,reviewed,Mediator of RNA polymerase II transcription subunit 28 (Endothelial-derived protein 1) (Mediator complex subunit 28) (Merlin and Grb2-interacting cytoskeletal protein) (Magicin) (Tumor angiogenesis marker EG-1),MED28 EG1 FKSG20,Homo sapiens (Human),178,MED28
99,q6p9b9,Q6P9B9,INT5_HUMAN,reviewed,Integrator complex subunit 5 (Int5),INTS5 KIAA1698,Homo sapiens (Human),1019,INTS5
100,q12888,Q12888,TP53B_HUMAN,reviewed,TP53-binding protein 1 (53BP1) (p53-binding protein 1) (p53BP1),TP53BP1,Homo sapiens (Human),1972,TP53BP1
101,q86tu7,Q86TU7,SETD3_HUMAN,reviewed,Actin-histidine N-methyltransferase (EC 2.1.1.85) (Protein-L-histidine N-tele-methyltransferase) (SET domain-containing protein 3) (hSETD3),SETD3 C14orf154,Homo sapiens (Human),594,SETD3
102,q92800,Q92800,EZH1_HUMAN,reviewed,Histone-lysine N-methyltransferase EZH1 (EC 2.1.1.356) (ENX-2) (Enhancer of zeste homolog 1),EZH1 KIAA0388,Homo sapiens (Human),747,EZH1
103,q13547,Q13547,HDAC1_HUMAN,reviewed,Histone deacetylase 1 (HD1) (EC 3.5.1.98) (Protein deacetylase HDAC1) (EC 3.5.1.-) (Protein deacylase HDAC1) (EC 3.5.1.-),HDAC1 RPD3L1,Homo sapiens (Human),482,HDAC1
